well,gfp_mcherry,gfp_nir,para
A03,1.5145395799676897,0.5246943294502744,4_14
A03,1.4135702746365104,0.5102532011167806,4_16
A03,1.4135702746365104,0.49581207278328676,4_18
A03,1.2924071082390953,0.4765572350052951,4_20
A03,11.708394698085419,5.725971370143149,6_1
A03,8.321060382916052,3.801275111271502,6_2
A03,4.6759941089838,2.201371346084446,6_4
A03,3.829160530191458,1.7683146878383256,6_6
A03,3.2032400589101617,1.5878744135691087,6_8
A03,3.0191458026509572,1.4675808973896307,6_10
A03,2.9086892488954343,1.3593167328281006,6_12
A03,2.7614138438880707,1.3111993263563093,6_14
A03,2.5773195876288657,1.275111271502466,6_16
A03,2.5773195876288657,1.2390232166486226,6_18
A03,2.3564064801178204,1.1909058101768315,6_20
A03,15.52734375,10.089020771513352,8_1
A03,11.03515625,6.697753285290377,8_2
A03,6.201171875,3.8787621873675286,8_4
A03,5.078125,3.115727002967359,8_6
A03,4.248046875,2.7977956761339553,8_8
A03,4.00390625,2.585841458245019,8_10
A03,3.857421875,2.395082662144977,8_12
A03,3.662109375,2.3103009749894023,8_14
A03,3.41796875,2.2467147096227214,8_16
A03,3.41796875,2.183128444256041,8_18
A03,3.125,2.098346757100466,8_20
